,FSA,CAT,DOG,Total,Year
206,M5A,416,949,1365,2017
207,M5P,194,760,954,2017
208,M5N,124,529,653,2017
209,M5M,252,1003,1255,2017
210,M5J,79,186,265,2017
211,M5H,6,38,44,2017
212,M5G,48,83,131,2017
213,M5E,54,175,229,2017
214,M5C,20,71,91,2017
215,M5B,91,174,265,2017
216,M6J,382,807,1189,2017
217,M5R,245,710,955,2017
218,M6K,427,876,1303,2017
219,M1B,285,627,912,2017
220,M6M,243,620,863,2017
221,M4Y,237,604,841,2017
222,M1C,297,775,1072,2017
223,Total,24495,56459,80954,2017
224,M9W,264,639,903,2017
225,M9V,192,444,636,2017
226,M9R,269,556,825,2017
227,M9P,204,426,630,2017
228,M9N,194,494,688,2017
229,M9M,133,241,374,2017
230,M9L,52,145,197,2017
231,M6L,124,272,396,2017
232,M9C,431,1011,1442,2017
233,M9A,360,986,1346,2017
234,M8Z,294,612,906,2017
235,M8Y,286,708,994,2017
236,M8X,153,441,594,2017
237,M8W,400,815,1215,2017
238,M8V,613,1235,1848,2017
239,M6S,516,1177,1693,2017
240,M6R,417,780,1197,2017
241,M6P,630,1179,1809,2017
242,M6N,471,1016,1487,2017
243,M9B,413,913,1326,2017
244,M4X,162,366,528,2017
245,M4S,318,898,1216,2017
246,M4V,174,708,882,2017
247,M2P,66,259,325,2017
248,M2N,513,1034,1547,2017
249,M2M,180,374,554,2017
250,M2L,91,319,410,2017
251,M2K,138,379,517,2017
252,M2J,295,659,954,2017
253,M2H,168,361,529,2017
254,M1X,35,113,148,2017
255,M1W,226,444,670,2017
256,M1V,182,433,615,2017
257,M2R,280,509,789,2017
258,M1T,203,387,590,2017
259,M1R,196,559,755,2017
260,M1P,298,500,798,2017
261,M1N,393,852,1245,2017
262,M1M,250,627,877,2017
263,M1L,299,510,809,2017
264,M1K,453,654,1107,2017
265,M1J,220,398,618,2017
266,M1G,220,385,605,2017
267,M1E,467,963,1430,2017
268,M4W,130,610,740,2017
269,M1S,187,428,615,2017
270,M3A,309,646,955,2017
271,M1H,155,309,464,2017
272,M3C,247,322,569,2017
273,M4T,114,493,607,2017
274,M4R,170,481,651,2017
275,M4P,245,614,859,2017
276,M4N,133,708,841,2017
277,M4M,284,788,1072,2017
278,M3B,109,350,459,2017
279,M4K,433,967,1400,2017
280,M4J,571,1110,1681,2017
281,M4H,57,69,126,2017
282,M4G,277,802,1079,2017
283,M4L,513,1315,1828,2017
284,M4C,663,1201,1864,2017
285,M4B,262,488,750,2017
286,M4A,93,210,303,2017
287,M3N,152,314,466,2017
288,M3M,177,318,495,2017
289,M3L,69,217,286,2017
290,M3K,51,122,173,2017
291,M3J,160,268,428,2017
292,M4E,430,1181,1611,2017
293,M3H,249,675,924,2017
294,M3N,162,249,411,2018
295,M3M,177,291,468,2018
296,M3L,73,210,283,2018
297,M3C,236,345,581,2018
298,M3J,143,235,378,2018
299,M3H,248,679,927,2018
300,M3B,106,346,452,2018
301,M3K,64,117,181,2018
302,M4A,99,209,308,2018
303,M4N,132,716,848,2018
304,M4C,614,1140,1754,2018
305,M4E,399,1185,1584,2018
306,M4G,236,795,1031,2018
307,M4H,58,56,114,2018
308,M4J,527,1028,1555,2018
309,M4K,406,948,1354,2018
310,M4L,481,1324,1805,2018
311,M4M,268,773,1041,2018
312,M3A,267,596,863,2018
313,M4P,250,645,895,2018
314,M4B,236,437,673,2018
315,M1E,458,928,1386,2018
316,M1V,173,447,620,2018
317,M2P,62,239,301,2018
318,M4R,172,469,641,2018
319,M1G,191,381,572,2018
320,M1H,139,298,437,2018
321,M1J,213,381,594,2018
322,M1K,372,582,954,2018
323,M1L,264,509,773,2018
324,M1M,245,590,835,2018
325,M1N,334,809,1143,2018
326,M1P,288,461,749,2018
327,M2R,239,469,708,2018
328,M1R,179,499,678,2018
329,M1T,187,396,583,2018
330,M1W,214,399,613,2018
331,M1X,35,111,146,2018
332,M2H,144,348,492,2018
333,M2J,320,589,909,2018
334,M2K,124,377,501,2018
335,M2L,80,327,407,2018
336,M2M,157,364,521,2018
337,M2N,447,995,1442,2018
338,M1S,184,437,621,2018
339,M4S,318,867,1185,2018
340,M6E,337,824,1161,2018
341,M4V,169,716,885,2018
342,M6K,426,858,1284,2018
343,M6L,131,284,415,2018
344,M6M,236,575,811,2018
345,M6N,426,935,1361,2018
346,M6P,605,1181,1786,2018
347,M6R,372,758,1130,2018
348,M6S,515,1202,1717,2018
349,M7A,0,1,1,2018
350,M8V,539,1177,1716,2018
351,M6J,343,800,1143,2018
352,M8W,348,760,1108,2018
353,M8Y,260,658,918,2018
354,M8Z,254,553,807,2018
355,M9A,332,917,1249,2018
356,M9B,367,875,1242,2018
357,M9C,414,913,1327,2018
358,M9L,59,128,187,2018
359,M9M,104,231,335,2018
360,M1C,280,773,1053,2018
361,M9N,176,412,588,2018
362,M8X,148,429,577,2018
363,M4T,91,504,595,2018
364,M6H,655,1077,1732,2018
365,M6C,219,720,939,2018
366,M4W,121,578,699,2018
367,M4X,168,357,525,2018
368,M4Y,230,569,799,2018
369,M5A,396,959,1355,2018
370,M5B,100,154,254,2018
371,M5C,24,64,88,2018
372,M5E,65,179,244,2018
373,M5G,48,78,126,2018
374,M5H,14,35,49,2018
375,M6G,401,793,1194,2018
376,M5J,77,183,260,2018
377,M5N,111,532,643,2018
378,M5P,179,766,945,2018
379,M5R,219,679,898,2018
380,M5S,129,245,374,2018
381,M5T,131,226,357,2018
382,M5V,331,1054,1385,2018
383,M5W,4,0,4,2018
384,M6A,137,224,361,2018
385,M6B,157,450,607,2018
386,M5M,236,1014,1250,2018
387,M1B,275,597,872,2018
388,M9V,196,415,611,2018
389,M9R,232,507,739,2018
390,M9P,178,398,576,2018
391,Total,22929,54532,77461,2018
392,M9W,243,619,862,2018
393,M2P,53,224,277,2019
394,M2R,225,416,641,2019
395,M3A,231,572,803,2019
396,M3B,95,318,413,2019
397,M3C,194,313,507,2019
398,M3H,233,598,831,2019
399,M3J,135,220,355,2019
400,M3K,51,106,157,2019
401,M3L,58,165,223,2019
402,M3M,139,280,419,2019
403,M4A,94,176,270,2019
404,M2N,409,904,1313,2019
405,M4B,220,432,652,2019
406,M4C,575,1034,1609,2019
407,M4E,339,1103,1442,2019
408,M4G,219,730,949,2019
409,M4H,51,53,104,2019
410,M4J,444,993,1437,2019
411,M4K,357,867,1224,2019
412,M4L,418,1276,1694,2019
413,M4M,258,706,964,2019
414,M3N,159,243,402,2019
415,M2M,129,321,450,2019
416,M2K,99,338,437,2019
417,M4N,119,682,801,2019
418,M1A,0,1,1,2019
419,M1B,236,511,747,2019
420,M1C,264,700,964,2019
421,M1E,415,803,1218,2019
422,M1G,169,325,494,2019
423,M1H,139,266,405,2019
424,M1J,206,336,542,2019
425,M1K,336,498,834,2019
426,M1L,248,438,686,2019
427,M1M,212,488,700,2019
428,M1N,299,696,995,2019
429,M1P,249,391,640,2019
430,M1R,156,439,595,2019
431,M1S,164,357,521,2019
432,M1T,164,349,513,2019
433,M1V,133,382,515,2019
434,M1W,164,381,545,2019
435,M1X,39,116,155,2019
436,M2A,0,1,1,2019
437,M2H,135,298,433,2019
438,M2J,320,559,879,2019
439,M2L,69,303,372,2019
440,M4P,229,640,869,2019
441,M9B,312,805,1117,2019
442,M4S,254,777,1031,2019
443,M6J,293,726,1019,2019
444,M6K,361,769,1130,2019
445,M6L,94,238,332,2019
446,M6M,205,548,753,2019
447,M6N,342,850,1192,2019
448,M6P,547,1074,1621,2019
449,M6R,300,696,996,2019
450,M6S,431,1079,1510,2019
451,M7A,1,0,1,2019
452,M8V,468,1097,1565,2019
453,M8W,290,627,917,2019
454,M8X,118,382,500,2019
455,M8Y,221,574,795,2019
456,M8Z,216,535,751,2019
