,FSA,CAT,DOG,Total,Year
889,M6E,254,597,851,2024
890,M6C,181,550,731,2024
891,M6B,134,373,507,2024
892,M6A,112,239,351,2024
893,M5V,384,1015,1399,2024
894,M5T,124,241,365,2024
895,M5S,127,230,357,2024
896,M5R,228,675,903,2024
897,M5N,75,403,478,2024
898,M4W,111,462,573,2024
899,M5J,80,164,244,2024
900,M5H,18,37,55,2024
901,M5G,79,85,164,2024
902,M5E,76,185,261,2024
903,M5C,21,53,74,2024
904,M5B,143,192,335,2024
905,M5A,368,978,1346,2024
906,M4Y,274,522,796,2024
907,M4X,154,292,446,2024
908,M5M,178,803,981,2024
909,M6H,468,840,1308,2024
910,M9W,154,374,528,2024
911,M6K,455,784,1239,2024
912,M4V,151,608,759,2024
913,M9V,117,278,395,2024
914,M9R,159,376,535,2024
915,M9P,113,312,425,2024
916,M9N,151,334,485,2024
917,M9M,66,164,230,2024
918,M9L,37,75,112,2024
919,M9C,244,729,973,2024
920,M9B,186,678,864,2024
921,M9A,263,675,938,2024
922,M8Z,154,468,622,2024
923,M8Y,142,508,650,2024
924,M8X,77,318,395,2024
925,M8W,179,557,736,2024
926,M8V,367,904,1271,2024
927,M6S,331,897,1228,2024
928,M6R,261,592,853,2024
929,M6P,499,1013,1512,2024
930,M6N,316,703,1019,2024
931,M6M,210,422,632,2024
932,M6L,95,190,285,2024
933,M6J,332,648,980,2024
934,M4T,82,366,448,2024
935,M6G,320,722,1042,2024
936,M4R,94,417,511,2024
937,M2L,59,229,288,2024
938,M2K,94,344,438,2024
939,M2J,310,605,915,2024
940,M2H,137,258,395,2024
941,M1X,28,86,114,2024
942,M1W,165,331,496,2024
943,M1V,136,327,463,2024
944,M1T,160,323,483,2024
945,M4S,273,811,1084,2024
946,M1R,115,360,475,2024
947,M1P,218,370,588,2024
948,M1N,217,601,818,2024
949,M1M,201,473,674,2024
950,M1L,217,386,603,2024
951,M1K,276,394,670,2024
952,M1J,175,295,470,2024
953,M1H,94,193,287,2024
954,M1G,127,269,396,2024
955,M1E,374,665,1039,2024
956,M1C,176,556,732,2024
957,M1B,219,444,663,2024
958,M2M,128,284,412,2024
959,M2N,420,835,1255,2024
960,M1S,142,297,439,2024
961,M2R,174,380,554,2024
962,M2P,37,184,221,2024
963,M4P,212,558,770,2024
964,M4N,89,547,636,2024
965,M4M,237,655,892,2024
966,M4L,309,1104,1413,2024
967,M4K,286,821,1107,2024
968,M4H,55,39,94,2024
969,M4G,150,624,774,2024
970,M4E,280,955,1235,2024
971,M4C,459,954,1413,2024
972,M4J,390,927,1317,2024
973,M4A,87,164,251,2024
974,M4B,155,364,519,2024
975,M3B,66,253,319,2024
976,M3C,167,284,451,2024
977,M3H,220,632,852,2024
978,M3J,148,211,359,2024
979,M3A,189,485,674,2024
980,M3L,60,179,239,2024
981,M3M,119,230,349,2024
982,M3N,176,234,410,2024
983,M3K,55,100,155,2024
984,M5N,69,367,436,2025
985,M6C,168,528,696,2025
986,M6B,128,330,458,2025
987,M6A,121,192,313,2025
988,M5V,448,1049,1497,2025
989,M5T,130,218,348,2025
990,M5S,94,201,295,2025
991,M5R,182,603,785,2025
992,M5P,150,489,639,2025
993,M5M,144,723,867,2025
994,M4V,127,553,680,2025
995,M5H,22,34,56,2025
996,M5G,81,72,153,2025
997,M5E,87,188,275,2025
998,M5C,25,57,82,2025
999,M5B,137,208,345,2025
1000,M5A,390,973,1363,2025
1001,M4Y,299,507,806,2025
1002,M4X,141,263,404,2025
1003,M4W,112,422,534,2025
1004,M5J,88,196,284,2025
1005,M6E,266,536,802,2025
1006,M9R,130,337,467,2025
1007,M6H,443,739,1182,2025
1008,M4T,78,327,405,2025
1009,M9P,101,262,363,2025
1010,M9N,146,284,430,2025
1011,M9M,60,141,201,2025
1012,M9L,28,67,95,2025
1013,M9C,218,635,853,2025
1014,M9B,167,621,788,2025
1015,M9A,238,619,857,2025
1016,M8Z,130,418,548,2025
1017,M8Y,128,438,566,2025
1018,M8X,75,291,366,2025
1019,M8W,175,508,683,2025
1020,M8V,332,808,1140,2025
1021,M6S,303,834,1137,2025
1022,M6R,266,517,783,2025
1023,M6P,450,962,1412,2025
1024,M6N,266,607,873,2025
1025,M6M,184,373,557,2025
1026,M6L,66,164,230,2025
1027,M6K,453,771,1224,2025
1028,M6J,289,580,869,2025
1029,M6G,285,653,938,2025
1030,M4S,255,749,1004,2025
1031,M2P,35,159,194,2025
1032,M4P,237,495,732,2025
1033,M2J,272,545,817,2025
1034,M2H,111,240,351,2025
1035,M1X,20,76,96,2025
1036,M1W,168,329,497,2025
1037,M1V,129,275,404,2025
1038,M1T,141,311,452,2025
1039,M1S,125,261,386,2025
1040,M1R,123,304,427,2025
1041,M1P,210,315,525,2025
1042,M2K,117,318,435,2025
1043,M1N,169,564,733,2025
1044,M1L,184,299,483,2025
1045,M1K,221,336,557,2025
1046,M1J,185,232,417,2025
1047,M1H,92,170,262,2025
1048,M1G,116,234,350,2025
1049,M1E,337,576,913,2025
1050,M1C,174,509,683,2025
1051,M1B,181,383,564,2025
1052,M9V,104,242,346,2025
1053,M1M,169,426,595,2025
1054,M2L,40,232,272,2025
1055,M2M,131,241,372,2025
1056,M2N,419,767,1186,2025
1057,M4N,87,494,581,2025
1058,M4M,223,631,854,2025
1059,M4L,272,1048,1320,2025
1060,M4K,246,753,999,2025
1061,M4J,317,837,1154,2025
1062,M4H,41,33,74,2025
1063,M4G,132,537,669,2025
1064,M4E,254,858,1112,2025
1065,M4C,430,890,1320,2025
1066,M4B,139,337,476,2025
1067,M4A,65,133,198,2025
1068,M3N,175,194,369,2025
1069,M3M,128,198,326,2025
1070,M3L,61,138,199,2025
1071,M3K,48,80,128,2025
1072,M3J,132,174,306,2025
1073,M3H,195,533,728,2025
1074,M3C,185,273,458,2025
1075,M3B,53,215,268,2025
1076,M3A,212,438,650,2025
1077,M2R,164,350,514,2025
1078,M4R,90,352,442,2025
1079,M9W,139,352,491,2025
