_id,Year,FSA,ANIMAL_TYPE,PRIMARY_BREED
85778,2023,M6P,DOG,BORDER COLLIE
85779,2025,M6P,DOG,BORDER COLLIE
85780,2025,M4L,DOG,ROTTWEILER
85781,2024,M4L,DOG,ROTTWEILER
85782,2024,M2H,CAT,DOMESTIC SH
85783,2023,M6S,CAT,DOMESTIC SH
85784,2024,M2H,CAT,DOMESTIC SH
85785,2023,M4M,CAT,DOMESTIC SH
85786,2025,M4S,CAT,DOMESTIC SH
85787,2024,M4S,CAT,DOMESTIC SH
85788,2024,M4R,DOG,POODLE MIN
85789,2023,M8Y,DOG,LABRADOR RETR
85790,2024,M8Y,DOG,LABRADOR RETR
85791,2025,M5G,DOG,GOLDEN RETR
85792,2024,M5G,DOG,GOLDEN RETR
85793,2023,M4E,DOG,GREAT DANE
85794,2025,M4Y,DOG,TERRIER
85795,2024,M4Y,DOG,TERRIER
85796,2023,M9W,DOG,GOLDEN RETR
85797,2025,M9W,DOG,GOLDEN RETR
85798,2025,M8Y,DOG,POODLE MIN
85799,2024,M6C,CAT,DOMESTIC SH
85800,2023,M6C,CAT,DOMESTIC SH
85801,2025,M8X,DOG,GERM SHEPHERD
85802,2023,M8X,DOG,GERM SHEPHERD
85803,2024,M1N,DOG,NORFOLK TERRIER
85804,2025,M1N,DOG,NORFOLK TERRIER
85805,2023,M3J,DOG,CHIHUAHUA SH
85806,2024,M3J,DOG,CHIHUAHUA SH
85807,2024,M4A,DOG,GOLDEN RETR
85808,2023,M4A,DOG,GOLDEN RETR
85809,2025,M6G,DOG,GERM SH POINT
85810,2024,M6G,DOG,GERM SH POINT
85811,2024,M5S,DOG,GERM SHEPHERD
85812,2023,M5S,DOG,GERM SHEPHERD
85813,2024,M1M,DOG,GOLDEN RETR
85814,2023,M1M,DOG,GOLDEN RETR
85815,2025,M9W,DOG,COTON DE TULEAR
85816,2024,M9W,DOG,COTON DE TULEAR
85817,2025,M6H,DOG,MALTESE
85818,2024,M6H,DOG,MALTESE
85819,2023,M6H,DOG,SIBERIAN HUSKY
85820,2025,M6H,DOG,SIBERIAN HUSKY
85821,2023,M6H,DOG,BRITTANY
85822,2025,M6H,DOG,BRITTANY
85823,2023,M1W,DOG,GERM SHEPHERD
85824,2023,M1W,DOG,GERM SHEPHERD
85825,2024,M1G,DOG,GERM SHEPHERD
85826,2023,M1G,DOG,GERM SHEPHERD
85827,2024,M5P,DOG,CHIHUAHUA SH
85828,2023,M3A,CAT,DOMESTIC LH
85829,2024,M1J,CAT,DOMESTIC SH
85830,2023,M1J,CAT,DOMESTIC SH
85831,2025,M6C,CAT,DOMESTIC SH
85832,2024,M6C,CAT,DOMESTIC SH
85833,2024,M1J,CAT,DOMESTIC SH
85834,2023,M1J,CAT,DOMESTIC SH
85835,2023,M5E,DOG,AMER ESKIMO
85836,2024,M5A,CAT,DOMESTIC SH
85837,2024,M5A,CAT,DOMESTIC SH
85838,2024,M4Y,CAT,BENGAL
85839,2023,M1M,DOG,GERM SHEPHERD
85840,2024,M1M,DOG,GERM SHEPHERD
85841,2023,M6G,DOG,LABRADOR RETR
85842,2024,M6G,DOG,LABRADOR RETR
85843,2025,M2K,DOG,DACHSHUND
85844,2023,M2K,DOG,DACHSHUND
85845,2024,M2K,DOG,DACHSHUND
85846,2025,M2K,DOG,DACHSHUND
85847,2023,M1C,DOG,YORKSHIRE TERR
85848,2025,M6P,DOG,LABRADOR RETR
85849,2024,M6P,DOG,LABRADOR RETR
85850,2023,M6K,DOG,COCKER SPAN
85851,2025,M6R,DOG,GERM SHEPHERD
85852,2024,M6R,DOG,GERM SHEPHERD
85853,2024,M4C,DOG,KERRY BLUE TERR
85854,2025,M6R,DOG,BORDER COLLIE
85855,2023,M6R,DOG,BORDER COLLIE
85856,2025,M6E,DOG,POMERANIAN
85857,2024,M6E,DOG,POMERANIAN
85858,2025,M8V,DOG,MALTESE
85859,2023,M4G,DOG,BERNESE MTN DOG
85860,2025,M3M,CAT,DOMESTIC SH
85861,2025,M3M,CAT,DOMESTIC SH
85862,2023,M1W,DOG,SIBERIAN HUSKY
85863,2025,M1W,DOG,SIBERIAN HUSKY
85864,2024,M4Y,DOG,PARSON RUSS TER
85865,2023,M4Y,DOG,PARSON RUSS TER
85866,2023,M2N,DOG,CHIHUAHUA SH
85867,2025,M3J,DOG,PARSON RUSS TER
85868,2024,M3J,DOG,PARSON RUSS TER
85869,2023,M6S,DOG,HAVANESE
85870,2024,M6R,DOG,BORDER COLLIE
85871,2024,M4C,CAT,DOMESTIC SH
85872,2023,M4C,CAT,DOMESTIC SH
85873,2024,M1G,CAT,DOMESTIC SH
85874,2025,M3N,DOG,SIBERIAN HUSKY
85875,2023,M1J,DOG,LABRADOR RETR
85876,2025,M1C,DOG,LABRADOR RETR
85877,2024,M1H,DOG,LABRADOR RETR
85878,2023,M1H,DOG,LABRADOR RETR
85879,2025,M3H,DOG,GOLDEN RETR
85880,2024,M3H,DOG,GOLDEN RETR
85881,2023,M4E,DOG,PORT WATER DOG
85882,2024,M4E,DOG,PORT WATER DOG
85883,2024,M4J,DOG,PARSON RUSS TER
85884,2025,M4J,DOG,PARSON RUSS TER
85885,2025,M5S,DOG,GERM SHEPHERD
85886,2023,M5S,DOG,GERM SHEPHERD
85887,2025,M8X,DOG,GOLDEN RETR
85888,2023,M8X,DOG,GOLDEN RETR
85889,2025,M9B,DOG,AUST SHEPHERD
85890,2023,M9B,DOG,AUST SHEPHERD
85891,2023,M8Z,DOG,BOXER
85892,2025,M8Z,DOG,BOXER
85893,2023,M1E,CAT,DOMESTIC MH
85894,2025,M1E,CAT,DOMESTIC MH
