_id,Year,FSA,ANIMAL_TYPE,PRIMARY_BREED
1,2023,M1C,DOG,GOLDEN RETR
2,2024,M4T,DOG,OLDENG SHEEPDOG
3,2023,M8X,CAT,DOMESTIC SH
4,2024,M4J,CAT,DOMESTIC SH
5,2023,M3C,CAT,DOMESTIC SH
6,2023,M9R,CAT,DOMESTIC SH
7,2024,M8V,CAT,DOMESTIC SH
8,2025,M8V,CAT,DOMESTIC SH
9,2024,M8Y,CAT,DOMESTIC SH
10,2023,M4C,CAT,DOMESTIC LH
11,2023,M4B,CAT,DOMESTIC SH
12,2024,M9L,CAT,DOMESTIC SH
13,2023,M8Z,DOG,GERM SHEPHERD
14,2023,M1P,CAT,DOMESTIC SH
15,2023,M8V,CAT,DOMESTIC SH
16,2023,M1E,CAT,DOMESTIC SH
17,2023,M6M,CAT,DOMESTIC SH
18,2023,M3K,DOG,COTON DE TULEAR
19,2024,M1H,CAT,DOMESTIC SH
20,2023,M4J,CAT,DOMESTIC SH
21,2023,M5M,CAT,DOMESTIC SH
22,2023,M1C,DOG,BICHON FRISE
23,2023,M9A,CAT,DOMESTIC SH
24,2023,M9P,CAT,DOMESTIC SH
25,2023,M4P,CAT,DOMESTIC SH
26,2023,M9A,CAT,DOMESTIC SH
27,2025,M1G,CAT,DOMESTIC SH
28,2023,M3J,CAT,DOMESTIC SH
29,2023,M5V,DOG,SHIH TZU
30,2023,M3A,DOG,POODLE MIN
31,2023,M9W,CAT,DOMESTIC SH
32,2023,M9C,DOG,PARSON RUSS TER
33,2023,M4N,CAT,DOMESTIC LH
34,2023,M4N,CAT,DOMESTIC LH
35,2023,M9B,CAT,DOMESTIC SH
36,2024,M2M,DOG,CAVALIER SPAN
37,2023,M2M,DOG,CAVALIER SPAN
38,2025,M5A,CAT,DOMESTIC SH
39,2023,M1T,CAT,DOMESTIC SH
40,2024,M1E,DOG,PARSON RUSS TER
41,2023,M1E,DOG,COCKER SPAN
42,2024,M8X,CAT,DOMESTIC SH
43,2023,M6R,DOG,BEAGLE
44,2024,M4B,CAT,DOMESTIC SH
45,2024,M9B,CAT,DOMESTIC SH
46,2023,M1H,CAT,DOMESTIC SH
47,2024,M1N,CAT,DOMESTIC SH
48,2023,M9C,CAT,DOMESTIC SH
49,2023,M6S,DOG,PARSON RUSS TER
50,2025,M1B,CAT,DOMESTIC SH
51,2023,M2H,DOG,AMER ESKIMO
52,2023,M8W,CAT,DOMESTIC SH
53,2023,M1V,CAT,DOMESTIC SH
54,2023,M1V,CAT,DOMESTIC SH
55,2024,M6R,CAT,DOMESTIC SH
56,2023,M1B,CAT,DOMESTIC SH
57,2023,M2N,CAT,SIAMESE
58,2023,M3B,DOG,SCHNAUZER MIN
59,2025,M8W,CAT,DOMESTIC SH
60,2023,M8W,CAT,DOMESTIC SH
61,2023,M1E,CAT,DOMESTIC SH
62,2024,M4M,CAT,DOMESTIC MH
63,2024,M4G,CAT,DOMESTIC SH
64,2024,M6J,CAT,DOMESTIC MH
65,2023,M2H,CAT,DOMESTIC SH
66,2023,M4N,DOG,YORKSHIRE TERR
67,2024,M4J,CAT,DOMESTIC SH
68,2024,M9P,CAT,DOMESTIC SH
69,2023,M1E,CAT,DOMESTIC SH
70,2023,M9M,DOG,SHIH TZU
71,2023,M1W,CAT,DOMESTIC SH
72,2023,M5P,CAT,DOMESTIC SH
73,2024,M2J,CAT,MAINE COON
74,2023,M4C,CAT,DOMESTIC SH
75,2024,M4L,DOG,POODLE MIN
76,2023,M9A,CAT,DOMESTIC SH
77,2024,M6C,CAT,DOMESTIC SH
78,2025,M1K,CAT,DOMESTIC SH
79,2025,M8X,CAT,DOMESTIC SH
80,2024,M4J,CAT,DOMESTIC MH
81,2023,M8X,DOG,SC WHEAT TERR
82,2023,M5A,DOG,GOLDEN RETR
83,2024,M4W,DOG,DACHSHUND
84,2025,M4W,DOG,DACHSHUND
85,2024,M8W,DOG,COCKER SPAN
86,2024,M2J,CAT,DOMESTIC SH
87,2023,M6N,DOG,YORKSHIRE TERR
88,2023,M8X,DOG,GOLDEN RETR
89,2023,M9R,DOG,SHIH TZU
90,2023,M4N,DOG,SC WHEAT TERR
91,2023,M4G,CAT,DOMESTIC SH
92,2023,M6R,CAT,DOMESTIC SH
93,2023,M2M,CAT,PERSIAN
94,2023,M1N,DOG,SHIH TZU
95,2023,M4V,DOG,BICHON FRISE
96,2023,M1E,DOG,WEST HIGHLAND
97,2023,M9M,CAT,DOMESTIC SH
98,2023,M4S,DOG,SHIH TZU
99,2023,M4C,CAT,DOMESTIC LH
100,2023,M4L,CAT,DOMESTIC SH
101,2023,M4J,CAT,DOMESTIC SH
102,2023,M5P,DOG,PARSON RUSS TER
103,2023,M5R,DOG,PUG
104,2023,M9R,CAT,DOMESTIC SH
105,2023,M4S,DOG,BICHON FRISE
106,2024,M4M,CAT,DOMESTIC SH
107,2024,M1W,CAT,MANX
108,2023,M3A,CAT,DOMESTIC SH
109,2024,M6C,DOG,CAIRN TERRIER
110,2024,M1L,CAT,DOMESTIC SH
111,2023,M6E,CAT,DOMESTIC SH
112,2023,M1E,DOG,GERM SHEPHERD
113,2025,M1L,CAT,RUSSIAN BLUE
114,2023,M4C,CAT,DOMESTIC SH
115,2023,M6C,DOG,GOLDEN RETR
116,2023,M5R,DOG,NS DUCK TOLLING
117,2023,M5R,CAT,DOMESTIC SH
118,2024,M5M,CAT,DOMESTIC MH
119,2024,M1W,CAT,DOMESTIC SH
120,2023,M2N,DOG,GERM SHEPHERD
121,2024,M4V,CAT,DOMESTIC SH
122,2023,M6G,CAT,DOMESTIC SH
123,2023,M4W,CAT,DOMESTIC SH
124,2024,M1C,CAT,DOMESTIC SH
125,2024,M6S,DOG,CHIHUAHUA SH
126,2025,M6M,CAT,DOMESTIC SH
127,2023,M6B,DOG,BEAGLE
128,2024,M9A,CAT,DOMESTIC SH
129,2023,M1C,CAT,DOMESTIC SH
130,2023,M8V,CAT,DOMESTIC SH
131,2023,M4N,DOG,COTON DE TULEAR
132,2024,M4C,CAT,DOMESTIC SH
133,2024,M9A,DOG,SHIH TZU
134,2023,M4X,CAT,DOMESTIC SH
135,2024,M9B,CAT,DOMESTIC SH
136,2023,M9A,CAT,DOMESTIC MH
137,2023,M2J,DOG,BASSET HOUND
138,2023,M4L,DOG,LABRADOR RETR
139,2023,M5R,CAT,DOMESTIC SH
140,2023,M2R,CAT,DOMESTIC SH
141,2024,M1N,DOG,SHIH TZU
142,2024,M9C,CAT,DOMESTIC LH
143,2023,M8Y,DOG,TOY POODLE
144,2023,M4C,CAT,DOMESTIC SH
145,2023,M4C,CAT,DOMESTIC SH
146,2023,M5V,DOG,GOLDEN RETR
147,2025,M6S,DOG,GOLDEN RETR
148,2025,M1E,CAT,DOMESTIC SH
149,2023,M1E,CAT,DOMESTIC SH
150,2024,M4C,CAT,DOMESTIC MH
151,2023,M9A,CAT,DOMESTIC SH
152,2024,M9A,CAT,DOMESTIC MH
153,2025,M9A,CAT,DOMESTIC LH
154,2024,M6J,CAT,DOMESTIC SH
155,2024,M1C,CAT,DOMESTIC SH
156,2023,M4P,DOG,HAVANESE
157,2024,M1V,CAT,DOMESTIC SH
158,2024,M1B,CAT,DOMESTIC SH
159,2023,M6L,DOG,BICHON FRISE
160,2024,M1C,CAT,DOMESTIC SH
161,2023,M1P,DOG,SHIH TZU
162,2024,M5P,DOG,HAVANESE
163,2023,M9B,DOG,SCHNAUZER MIN
164,2024,M5N,DOG,HAVANESE
165,2025,M5N,DOG,HAVANESE
166,2023,M6S,CAT,DOMESTIC SH
167,2023,M5A,DOG,LABRADOR RETR
168,2024,M6N,CAT,DOMESTIC SH
169,2024,M3C,DOG,PUG
170,2023,M1R,CAT,BURMESE
171,2025,M1W,CAT,DOMESTIC MH
172,2023,M9P,DOG,SHIH TZU
173,2023,M4A,DOG,BORDER COLLIE
174,2024,M3B,CAT,DOMESTIC LH
175,2023,M3B,CAT,DOMESTIC SH
176,2023,M6G,DOG,PUG
177,2023,M6E,CAT,DOMESTIC LH
178,2023,M6P,CAT,DOMESTIC SH
179,2023,M4P,CAT,DOMESTIC SH
180,2023,M6G,CAT,DOMESTIC SH
181,2024,M2H,CAT,DOMESTIC SH
182,2023,M8Y,CAT,DOMESTIC MH
183,2023,M1E,CAT,DOMESTIC SH
184,2023,M4C,CAT,DOMESTIC SH
185,2023,M9C,CAT,DOMESTIC SH
186,2023,M4J,DOG,SCHNAUZER MIN
187,2024,M2N,CAT,DOMESTIC SH
188,2023,M5M,CAT,DOMESTIC SH
189,2025,M2H,CAT,DOMESTIC SH
190,2024,M9C,CAT,DOMESTIC MH
191,2023,M1W,DOG,DACHSHUND
192,2023,M6S,CAT,DOMESTIC SH
193,2023,M6R,CAT,DOMESTIC SH
194,2025,M5A,DOG,PORT WATER DOG
195,2023,M6K,CAT,DOMESTIC SH
196,2023,M4V,DOG,YORKSHIRE TERR
197,2024,M8Y,DOG,SHIH TZU
198,2025,M6S,CAT,DOMESTIC LH
199,2023,M6P,CAT,DOMESTIC SH
200,2023,M3K,DOG,SHIH TZU
201,2023,M4E,CAT,DOMESTIC SH
202,2023,M8V,CAT,DOMESTIC SH
203,2023,M2N,DOG,SHIH TZU
204,2023,M9M,CAT,DOMESTIC SH
205,2023,M4W,CAT,DOMESTIC SH
206,2024,M1S,CAT,DOMESTIC SH
207,2023,M1N,DOG,BASENJI
208,2025,M1N,CAT,DOMESTIC SH
209,2024,M6P,CAT,DOMESTIC LH
210,2023,M6B,DOG,POODLE MIN
211,2023,M1N,DOG,POODLE MIN
212,2023,M2J,DOG,WEST HIGHLAND
213,2023,M4M,CAT,DOMESTIC SH
214,2023,M4M,CAT,DOMESTIC SH
215,2025,M4M,CAT,DOMESTIC LH
216,2025,M4J,CAT,DOMESTIC MH
217,2023,M4X,CAT,OCICAT
218,2024,M6S,CAT,DOMESTIC SH
219,2023,M1L,CAT,DOMESTIC SH
220,2023,M8W,DOG,POMERANIAN
221,2023,M3M,CAT,DOMESTIC SH
222,2024,M5M,CAT,DOMESTIC SH
223,2023,M2K,DOG,SHIH TZU
224,2023,M2H,CAT,DOMESTIC SH
225,2023,M4P,CAT,DOMESTIC LH
226,2023,M6A,DOG,POODLE STND
227,2023,M4C,DOG,BEARDED COLLIE
228,2023,M5V,CAT,DOMESTIC SH
229,2023,M6M,DOG,GERM SHEPHERD
230,2024,M9B,DOG,POODLE MIN
231,2024,M5A,CAT,RAGDOLL
232,2023,M5A,CAT,RAGDOLL
233,2023,M9B,CAT,DOMESTIC SH
234,2024,M3B,CAT,DOMESTIC SH
235,2023,M4C,DOG,WEST HIGHLAND
236,2023,M8V,CAT,DOMESTIC SH
237,2023,M1K,CAT,DOMESTIC LH
238,2023,M3M,DOG,POODLE MIN
239,2023,M2J,CAT,DOMESTIC SH
240,2024,M5M,CAT,DOMESTIC SH
241,2023,M5R,DOG,MALTESE
242,2023,M4C,CAT,DOMESTIC SH
243,2023,M4C,CAT,DOMESTIC SH
244,2024,M9R,CAT,DOMESTIC SH
245,2025,M4L,DOG,BASSET HOUND
246,2025,M4T,CAT,DOMESTIC SH
247,2025,M1B,CAT,DOMESTIC SH
248,2023,M9C,CAT,DOMESTIC SH
249,2023,M5P,DOG,BICHON FRISE
250,2023,M1C,CAT,SIAMESE
251,2023,M9L,DOG,AUST SHEPHERD
252,2023,M4K,DOG,COCKER SPAN
253,2023,M3K,DOG,POMERANIAN
254,2023,M6M,DOG,YORKSHIRE TERR
255,2023,M1S,CAT,DOMESTIC LH
256,2023,M1S,DOG,WEST HIGHLAND
257,2024,M1W,CAT,DOMESTIC SH
258,2023,M1W,CAT,DOMESTIC MH
259,2025,M6S,CAT,DOMESTIC SH
260,2023,M3C,CAT,DOMESTIC MH
261,2023,M6S,CAT,DOMESTIC SH
262,2023,M1S,CAT,DOMESTIC SH
263,2023,M1K,CAT,DOMESTIC SH
264,2023,M9A,CAT,DOMESTIC SH
265,2023,M4B,CAT,DOMESTIC SH
266,2023,M1C,CAT,DOMESTIC SH
267,2024,M6S,CAT,DOMESTIC SH
268,2023,M6S,DOG,YORKSHIRE TERR
269,2023,M2L,DOG,MALTESE
270,2023,M4Y,CAT,DOMESTIC SH
271,2024,M3A,CAT,DOMESTIC SH
272,2023,M4L,CAT,SIAMESE
273,2024,M8V,CAT,DOMESTIC SH
274,2023,M8V,CAT,DOMESTIC SH
275,2023,M4P,DOG,POODLE TOY
276,2023,M6E,DOG,SHIH TZU
277,2025,M6K,CAT,DOMESTIC SH
278,2023,M2J,CAT,DOMESTIC MH
279,2023,M6C,CAT,DOMESTIC SH
280,2023,M4E,DOG,COCKER SPAN
281,2025,M4S,DOG,SHIH TZU
282,2024,M4J,CAT,DOMESTIC MH
283,2024,M1B,CAT,DOMESTIC MH
284,2023,M1N,CAT,DOMESTIC SH
285,2023,M9B,CAT,DOMESTIC SH
286,2025,M9B,CAT,DOMESTIC MH
287,2024,M1R,CAT,DOMESTIC SH
288,2023,M1S,DOG,SCHNAUZER MIN
289,2025,M2N,CAT,DOMESTIC LH
290,2023,M9C,CAT,DOMESTIC SH
291,2023,M4M,CAT,DOMESTIC LH
292,2023,M6C,DOG,HAVANESE
293,2023,M1C,CAT,DOMESTIC SH
294,2025,M6N,DOG,YORKSHIRE TERR
295,2025,M4M,CAT,DOMESTIC SH
296,2023,M4M,CAT,DOMESTIC SH
297,2023,M4J,DOG,WEST HIGHLAND
298,2024,M3M,DOG,SHIH TZU
299,2023,M4S,DOG,YORKSHIRE TERR
300,2025,M3A,CAT,DOMESTIC LH
301,2025,M4K,CAT,DOMESTIC SH
302,2023,M1S,CAT,DOMESTIC SH
303,2023,M1S,CAT,DOMESTIC SH
304,2023,M3H,DOG,HAVANESE
305,2023,M4A,DOG,PUG
306,2024,M6C,CAT,DOMESTIC SH
307,2023,M5P,DOG,WEST HIGHLAND
308,2023,M4C,CAT,DOMESTIC SH
309,2024,M4C,CAT,DOMESTIC SH
310,2023,M4T,DOG,HAVANESE
311,2024,M1T,CAT,DOMESTIC MH
312,2024,M8V,CAT,DOMESTIC SH
313,2025,M1L,CAT,DOMESTIC SH
314,2023,M4L,CAT,DOMESTIC SH
315,2023,M4J,CAT,DOMESTIC SH
316,2023,M1R,CAT,RAGDOLL
317,2023,M6K,DOG,BICHON FRISE
318,2023,M1T,CAT,DOMESTIC SH
319,2024,M4R,CAT,DOMESTIC SH
320,2023,M1B,DOG,PARSON RUSS TER
321,2025,M6B,CAT,DOMESTIC SH
322,2023,M6B,CAT,DOMESTIC SH
323,2023,M8V,CAT,DOMESTIC SH
324,2023,M5J,DOG,SHIH TZU
325,2023,M3B,CAT,DOMESTIC LH
326,2024,M4K,CAT,DOMESTIC SH
327,2023,M6M,DOG,PARSON RUSS TER
328,2023,M6J,CAT,DOMESTIC MH
329,2024,M6C,CAT,DOMESTIC SH
330,2023,M1W,DOG,MALTESE
331,2023,M8Z,DOG,SHIH TZU
332,2024,M4C,DOG,PARSON RUSS TER
333,2023,M3B,DOG,AUST SHEPHERD
334,2023,M4L,CAT,SIAMESE
335,2024,M4V,CAT,DOMESTIC MH
336,2024,M2J,DOG,YORKSHIRE TERR
337,2023,M4L,DOG,SHIH TZU
338,2023,M4L,CAT,DOMESTIC SH
339,2023,M1V,DOG,DACHSHUND
340,2024,M5M,DOG,LABRADOR RETR
341,2023,M4G,CAT,DOMESTIC SH
342,2023,M1G,CAT,DOMESTIC SH
343,2024,M6S,CAT,ABYSSINIAN
344,2023,M4E,DOG,LABRADOR RETR
345,2023,M6N,DOG,CHIHUAHUA SH
346,2023,M8V,CAT,DOMESTIC SH
347,2023,M8V,CAT,DOMESTIC MH
348,2023,M1K,CAT,DOMESTIC MH
349,2023,M2M,DOG,CHINESE CRESTED
350,2023,M1R,CAT,DOMESTIC SH
351,2024,M4C,CAT,DOMESTIC SH
352,2023,M6K,CAT,DOMESTIC LH
353,2024,M4K,CAT,DOMESTIC SH
354,2023,M1S,CAT,DOMESTIC SH
355,2023,M6G,CAT,DOMESTIC SH
356,2023,M1L,CAT,DOMESTIC SH
357,2024,M4L,CAT,DOMESTIC SH
358,2023,M2N,CAT,DOMESTIC LH
359,2024,M9C,CAT,DOMESTIC SH
360,2023,M1S,CAT,DOMESTIC MH
361,2023,M1J,CAT,DOMESTIC SH
362,2023,M4Y,CAT,DOMESTIC SH
363,2025,M3M,CAT,DOMESTIC SH
364,2024,M1N,CAT,DOMESTIC SH
365,2023,M8V,CAT,DOMESTIC LH
366,2023,M1N,CAT,DOMESTIC SH
367,2023,M6P,CAT,DOMESTIC SH
368,2025,M6G,CAT,DOMESTIC SH
369,2024,M2K,CAT,DOMESTIC SH
370,2025,M4S,CAT,AMER SH
371,2024,M8Y,CAT,DOMESTIC MH
372,2023,M1W,CAT,DOMESTIC SH
373,2024,M1X,CAT,DOMESTIC SH
374,2023,M4C,CAT,DOMESTIC SH
375,2024,M6G,CAT,DOMESTIC MH
376,2025,M1J,CAT,DOMESTIC SH
377,2023,M4M,CAT,DOMESTIC SH
378,2023,M9V,DOG,SHIH TZU
379,2023,M4M,CAT,DOMESTIC SH
380,2023,M1V,DOG,MALTESE
381,2025,M1S,CAT,DOMESTIC SH
382,2023,M4K,CAT,DOMESTIC MH
383,2023,M6R,CAT,DOMESTIC SH
384,2025,M6N,CAT,DOMESTIC SH
385,2023,M2J,CAT,DOMESTIC SH
386,2023,M6S,DOG,RAT TERRIER
387,2023,M6J,CAT,DOMESTIC SH
388,2023,M3L,CAT,DOMESTIC SH
389,2023,M5R,DOG,MALTESE
390,2023,M6P,DOG,PARSON RUSS TER
391,2023,M9W,DOG,CHIHUAHUA SH
392,2023,M4T,DOG,COCKER SPAN
393,2023,M1C,CAT,DOMESTIC SH
394,2024,M1J,CAT,HIMALAYAN
395,2023,M1P,CAT,HIMALAYAN
396,2023,M4X,CAT,DOMESTIC SH
397,2023,M4T,DOG,BICHON FRISE
398,2024,M1J,CAT,DOMESTIC SH
399,2023,M6M,CAT,DOMESTIC SH
400,2024,M6G,CAT,DOMESTIC SH
401,2023,M8Z,CAT,DOMESTIC SH
402,2023,M6R,CAT,DOMESTIC SH
403,2023,M6R,CAT,DOMESTIC SH
404,2023,M4S,CAT,DOMESTIC SH
405,2025,M6A,CAT,DOMESTIC SH
406,2023,M4S,DOG,POODLE MIN
407,2025,M3H,CAT,DOMESTIC SH
408,2023,M3H,CAT,DOMESTIC SH
409,2023,M1W,DOG,SHIH TZU
410,2023,M3A,CAT,DOMESTIC SH
411,2023,M9P,DOG,COTON DE TULEAR
412,2025,M9C,CAT,DOMESTIC SH
413,2023,M5M,CAT,DOMESTIC SH
414,2025,M5M,CAT,DOMESTIC SH
415,2023,M8V,CAT,DOMESTIC SH
416,2023,M4C,CAT,DOMESTIC LH
417,2023,M4C,CAT,DOMESTIC LH
418,2023,M2K,CAT,DOMESTIC SH
419,2024,M5N,CAT,DOMESTIC SH
420,2023,M8V,CAT,DOMESTIC SH
421,2024,M6N,CAT,DOMESTIC LH
422,2023,M4J,DOG,DACHSHUND
423,2024,M5A,DOG,HAVANESE
424,2025,M4C,CAT,DOMESTIC SH
425,2023,M6H,DOG,SHIH TZU
426,2023,M1E,CAT,SIAMESE
427,2023,M3B,DOG,MALTESE
428,2023,M3B,CAT,DOMESTIC SH
429,2023,M4J,DOG,YORKSHIRE TERR
430,2024,M6P,CAT,PERSIAN
431,2023,M8V,DOG,SHIH TZU
432,2023,M6L,DOG,CHIHUAHUA SH
433,2024,M1V,CAT,DOMESTIC SH
434,2023,M4E,CAT,DOMESTIC MH
435,2023,M1T,DOG,POODLE TOY
436,2023,M2N,CAT,DOMESTIC SH
437,2023,M9C,CAT,DOMESTIC LH
438,2024,M8Y,DOG,YORKSHIRE TERR
439,2023,M8W,DOG,AFFENPINSCHER
440,2025,M8W,DOG,AFFENPINSCHER
441,2025,M8W,DOG,AFFENPINSCHER
442,2023,M3B,CAT,DOMESTIC MH
443,2023,M8Z,DOG,GOLDEN RETR
444,2023,M4M,DOG,ENG COCKER SPAN
445,2023,M1C,DOG,WEST HIGHLAND
446,2023,M8Z,CAT,DOMESTIC SH
447,2023,M4S,CAT,DOMESTIC LH
448,2024,M5N,CAT,DOMESTIC SH
449,2023,M9M,DOG,SHIH TZU
450,2024,M9M,DOG,SHIH TZU
451,2023,M9W,DOG,YORKSHIRE TERR
452,2024,M9R,DOG,COCKER SPAN
453,2023,M6K,CAT,SIAMESE
454,2023,M4S,CAT,DOMESTIC SH
455,2023,M6R,DOG,SIBERIAN HUSKY
456,2023,M1K,CAT,SIAMESE
457,2024,M9W,CAT,DOMESTIC SH
458,2024,M4J,DOG,MALTESE
459,2023,M6R,CAT,DOMESTIC SH
460,2023,M6R,CAT,DOMESTIC SH
461,2023,M6R,DOG,GERM SHEPHERD
462,2023,M9B,DOG,POODLE TOY
463,2023,M9B,DOG,POODLE TOY
464,2024,M4C,CAT,DOMESTIC SH
465,2023,M8V,DOG,AUST SHEPHERD
466,2023,M2N,CAT,DOMESTIC LH
467,2023,M5R,DOG,YORKSHIRE TERR
468,2024,M9A,CAT,DOMESTIC SH
469,2024,M1L,DOG,SHIH TZU
470,2023,M1S,CAT,DOMESTIC SH
471,2023,M1J,CAT,DOMESTIC SH
472,2023,M9N,DOG,SHIH TZU
473,2023,M6E,CAT,DOMESTIC SH
474,2023,M5N,CAT,DOMESTIC SH
475,2024,M9R,CAT,BRITISH SH
476,2023,M6E,CAT,DOMESTIC MH
477,2023,M8W,DOG,SHIH TZU
478,2023,M6K,DOG,WEST HIGHLAND
479,2023,M4L,CAT,DOMESTIC SH
480,2023,M3A,DOG,DACHSHUND
481,2023,M4M,CAT,DOMESTIC SH
482,2023,M8Y,DOG,BRITTANY
483,2023,M8Z,CAT,DOMESTIC MH
484,2024,M8Z,CAT,DOMESTIC MH
485,2024,M8Z,CAT,DOMESTIC MH
486,2024,M1C,DOG,MALTESE
487,2024,M4S,CAT,DOMESTIC LH
488,2025,M6K,CAT,DOMESTIC SH
489,2025,M4E,CAT,DOMESTIC SH
490,2024,M1M,DOG,BASSET HOUND
491,2023,M4K,DOG,TIBETAN TERR
492,2023,M2L,DOG,COCKER SPAN
493,2023,M1W,DOG,POODLE MIN
494,2023,M1V,CAT,DOMESTIC SH
495,2024,M4S,CAT,DOMESTIC SH
496,2024,M1V,DOG,CHIHUAHUA SH
497,2024,M1V,DOG,BICHON FRISE
498,2023,M6G,CAT,DOMESTIC SH
499,2023,M3J,DOG,PARSON RUSS TER
500,2023,M9W,CAT,DOMESTIC SH
501,2024,M1X,CAT,DOMESTIC SH
502,2024,M1X,CAT,DOMESTIC SH
503,2023,M1V,CAT,DOMESTIC LH
504,2023,M6N,DOG,PARSON RUSS TER
505,2023,M3L,DOG,CHIHUAHUA SH
506,2023,M1V,DOG,SHIH TZU
507,2023,M1K,CAT,DOMESTIC SH
508,2025,M4E,CAT,RAGDOLL
509,2023,M3C,DOG,SHIH TZU
510,2024,M1B,CAT,DOMESTIC MH
511,2024,M1B,DOG,BEAGLE
512,2023,M8W,CAT,DOMESTIC SH
513,2023,M8W,CAT,DOMESTIC SH
514,2023,M6N,DOG,COCKER SPAN
515,2023,M3A,DOG,CAVALIER SPAN
516,2025,M3A,DOG,LABRADOR RETR
517,2023,M4T,DOG,SC WHEAT TERR
518,2024,M4E,DOG,BOXER
519,2023,M6P,CAT,DOMESTIC MH
520,2023,M4V,CAT,DOMESTIC SH
521,2024,M4S,CAT,DOMESTIC SH
522,2025,M4B,CAT,DOMESTIC SH
523,2023,M1V,CAT,DOMESTIC SH
524,2023,M8V,CAT,DOMESTIC SH
525,2023,M1B,CAT,DOMESTIC SH
526,2025,M2H,CAT,DOMESTIC SH
527,2024,M4S,CAT,DOMESTIC SH
528,2023,M9C,CAT,DOMESTIC SH
529,2023,M8Z,CAT,DOMESTIC SH
530,2023,M5C,CAT,DOMESTIC SH
531,2024,M8V,CAT,DOMESTIC SH
532,2025,M8V,CAT,DOMESTIC SH
533,2025,M8V,CAT,DOMESTIC SH
534,2025,M8V,CAT,DOMESTIC LH
535,2025,M8V,CAT,DOMESTIC SH
536,2025,M8V,CAT,DOMESTIC SH
537,2024,M3J,CAT,DOMESTIC SH
538,2023,M9C,CAT,DOMESTIC SH
539,2023,M5N,CAT,DOMESTIC SH
540,2024,M1N,CAT,DOMESTIC MH
541,2023,M6E,CAT,DOMESTIC SH
542,2023,M2N,CAT,SIAMESE
543,2023,M9N,DOG,PARSON RUSS TER
544,2024,M1G,CAT,DOMESTIC SH
545,2023,M4K,CAT,DOMESTIC MH
546,2023,M4G,CAT,DOMESTIC MH
547,2024,M1K,CAT,DOMESTIC SH
548,2024,M1J,DOG,POMERANIAN
549,2024,M4C,CAT,DOMESTIC SH
550,2023,M1T,DOG,BICHON FRISE
551,2023,M6B,CAT,DOMESTIC SH
552,2023,M2N,CAT,DOMESTIC SH
553,2023,M1G,CAT,DOMESTIC LH
554,2024,M2R,CAT,DOMESTIC SH
555,2023,M6J,CAT,DOMESTIC SH
556,2023,M3C,DOG,CHIHUAHUA LH
557,2023,M1L,CAT,DOMESTIC SH
558,2023,M1E,CAT,DOMESTIC SH
559,2023,M4E,CAT,RAGDOLL
560,2024,M4C,DOG,PARSON RUSS TER
561,2023,M4J,CAT,DOMESTIC SH
562,2023,M8V,CAT,HIMALAYAN
563,2023,M1E,DOG,POODLE MIN
564,2023,M6S,DOG,COTON DE TULEAR
565,2023,M1G,CAT,DOMESTIC MH
566,2023,M1N,CAT,DOMESTIC SH
567,2023,M1N,DOG,WHIPPET
568,2023,M4T,CAT,DOMESTIC LH
569,2023,M4L,CAT,DOMESTIC MH
570,2023,M6N,CAT,DOMESTIC SH
571,2023,M4J,CAT,DOMESTIC SH
572,2023,M4E,CAT,DOMESTIC SH
573,2023,M8Z,DOG,PARSON RUSS TER
574,2023,M4M,DOG,SHIH TZU
575,2024,M4L,CAT,DOMESTIC SH
576,2023,M4L,CAT,DOMESTIC MH
577,2025,M3H,CAT,DOMESTIC SH
578,2023,M1P,CAT,DOMESTIC SH
579,2023,M2J,CAT,DOMESTIC MH
580,2023,M6B,CAT,DOMESTIC SH
581,2023,M5M,DOG,SHIH TZU
582,2024,M6J,CAT,DOMESTIC SH
583,2023,M9C,CAT,DOMESTIC SH
584,2023,M1J,CAT,DOMESTIC SH
585,2024,M1H,CAT,DOMESTIC MH
586,2023,M5N,CAT,DOMESTIC SH
587,2025,M4J,CAT,DOMESTIC SH
588,2025,M4J,CAT,DOMESTIC SH
589,2023,M4G,CAT,DOMESTIC SH
590,2023,M4R,CAT,DOMESTIC SH
591,2024,M5V,CAT,DOMESTIC SH
592,2023,M6M,DOG,DACHSHUND
593,2023,M4B,CAT,DOMESTIC SH
594,2023,M4K,CAT,DOMESTIC SH
595,2025,M8X,CAT,DOMESTIC SH
596,2024,M5P,DOG,PARSON RUSS TER
597,2023,M8W,DOG,PUG
598,2023,M4E,DOG,SCHNAUZER MIN
599,2024,M5R,DOG,POMERANIAN
600,2023,M8X,CAT,DOMESTIC SH
601,2023,M1R,DOG,BOSTON TERRIER
602,2023,M1C,DOG,WEST HIGHLAND
603,2023,M6R,CAT,DOMESTIC SH
604,2023,M8W,CAT,DOMESTIC MH
605,2023,M4C,CAT,BURMESE
606,2023,M1C,DOG,BICHON FRISE
607,2023,M5R,DOG,GOLDEN RETR
608,2023,M1W,DOG,SHIH TZU
609,2023,M8Z,CAT,DOMESTIC SH
610,2023,M5P,CAT,DOMESTIC SH
611,2024,M4R,CAT,DOMESTIC MH
612,2024,M6R,CAT,DOMESTIC SH
613,2023,M6N,DOG,SHIH TZU
614,2024,M4A,CAT,DOMESTIC LH
615,2023,M4M,DOG,MALTESE
