_id,objectid,locationid,asset_id,location_name,address,hours,url,comm_dog_walkers_allowed,fenced_perimeter,lit_area,small_dog_area,surface_material,nearby_drinking_water_source,nearby_drinking_water_source_ty,hours_of_operation,area_sqm,features,geometry
43,161,28,2842,Sunnybrook Park,1132 Leslie St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=28,Yes,Full,Yes,Yes,Grass,Yes,Dog Fountain,6 a.m. to 11 p.m.,11168,None,"{""coordinates"": [[-79.3657569813453, 43.7221144929075]], ""type"": ""MultiPoint""}"
44,162,370,2825,Craigleigh Gardens,160 South Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=370,No,Partial,Yes,No,Grass,Yes,"Drinking Fountain, Dog Fountain","6 a.m. to 10 a.m. 
& 6 p.m. to 10 p.m.",6015,None,"{""coordinates"": [[-79.3724023378818, 43.6776358955718]], ""type"": ""MultiPoint""}"
45,163,918,2852,Yonge and York Mills,4200 Yonge St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=918,Yes,Full,No,No,"Grass, Engineered Wood Fibre",None,None,6 a.m. to 11 p.m.,1910,None,"{""coordinates"": [[-79.4076988952156, 43.7449608641446]], ""type"": ""MultiPoint""}"
46,164,71,24982,Sir Casimir Czowski Park,2001 Lake Shore Blvd W,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=71,Yes,Full,No,No,Pea Gravel,None,None,6 a.m. to 10 p.m.,1678,None,"{""coordinates"": [[-79.4701197293046, 43.6335671404932]], ""type"": ""MultiPoint""}"
47,165,3641,2853,Orphan's Green,51 Power St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3641,Yes,Full,Yes,No,Engineered Wood Fibre,None,None,6 a.m. to midnight,1695,None,"{""coordinates"": [[-79.3624387511496, 43.6546602356942]], ""type"": ""MultiPoint""}"
48,166,799,79179,Albert Campbell Square,150 Borough Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=799,No,Full,No,No,Artificial Turf,None,None,Park hours,128,None,"{""coordinates"": [[-79.255528008382, 43.7740892730871]], ""type"": ""MultiPoint""}"
49,167,163,2829,Barbara Hall Park,519 Church St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=163,No,Full,Yes,No,Pea Gravel,Yes,Dog Fountain,7 a.m. to 10 p.m.,968,None,"{""coordinates"": [[-79.3800201541626, 43.6665988768419]], ""type"": ""MultiPoint""}"
50,168,344,18543,Riverdale Park West,375 Sumach St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=344,Yes,None,No ,No,Grass,Yes,"Bottle Filling Station, Drinking Fountain, Dog Fountain",Park hours,45246,None,"{""coordinates"": [[-79.3588901959637, 43.6660297959719]], ""type"": ""MultiPoint""}"
51,169,134,2804,Merrill Bridge Road Park,1 East Lynn Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=134,No,None,No,No,"Grass, Engineered Wood Fibre",Yes,Dog Fountain,7 a.m. to 10 p.m.,5005,None,"{""coordinates"": [[-79.3139521235444, 43.6815710581624]], ""type"": ""MultiPoint""}"
52,170,228,2851,Norwood Park,16 Norwood Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=228,Yes,Full,No,No,Sand,None,None,Park hours,1654,None,"{""coordinates"": [[-79.3038664493893, 43.6825026941542]], ""type"": ""MultiPoint""}"
53,171,2430,60022,Coxwell Ravine Park,260 Dawes Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2430,Yes,Full,Yes,No,Pea Gravel,None,None,6 a.m. to 10 p.m.,1038,None,"{""coordinates"": [[-79.3318360314748, 43.7013502797738]], ""type"": ""MultiPoint""}"
54,172,475,72824,The Pocket,400 Greenwood Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=475,No,None,No,No,Grass,None,None,Park hours,10358,None,"{""coordinates"": [[-79.3342765814918, 43.6777402741549]], ""type"": ""MultiPoint""}"
55,173,467,2826,Coronation Park - Toronto,711 Lake Shore Blvd W,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=467,Yes,Full,Yes,No,Engineered Wood Fibre,Yes,"Drinking Fountain, Dog Fountain","7 a.m. to 11 p.m. 
CDW only allowed Monday to Friday 10 a.m. to 2 p.m.
",6020,None,"{""coordinates"": [[-79.4037711261494, 43.6336997357903]], ""type"": ""MultiPoint""}"
56,174,439,13953,Sandy Bruce Park,426 Moore Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=439,No,Full,No,No,Engineered Wood Fibre,None,None,7 a.m. to 10 p.m.,2392,None,"{""coordinates"": [[-79.3708954507763, 43.6974487333925]], ""type"": ""MultiPoint""}"
57,175,337,18542,Earl Bales Park,4169 Bathurst St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=337,Yes,Full,Yes,No,Grass,Yes,Bottle Filling Station,6 a.m. to 10 p.m.,4969,None,"{""coordinates"": [[-79.4309950287725, 43.7557103115264]], ""type"": ""MultiPoint""}"
