_id,objectid,locationid,asset_id,location_name,address,hours,url,comm_dog_walkers_allowed,fenced_perimeter,lit_area,small_dog_area,surface_material,nearby_drinking_water_source,nearby_drinking_water_source_ty,hours_of_operation,area_sqm,features,geometry
11,129,2472,2808,L'Amoreaux North Park,1900 Mcnicoll Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2472,No,Full,No,No,Grass,None,None,7 a.m. to 11 p.m.,2353,None,"{""coordinates"": [[-79.305246484617, 43.8100619360544]], ""type"": ""MultiPoint""}"
12,130,1074,2812,Humber Bay Park West,2225 Lake Shore Blvd W,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1074,Yes,Full,No,No,"Grass, Dirt, Engineered Wood Fibre",None,None,6 a.m. to midnight,6227,None,"{""coordinates"": [[-79.4833091860925, 43.6131081573685]], ""type"": ""MultiPoint""}"
13,131,70,2817,Greenwood Park,150 Greenwood Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=70,Yes,Full,Yes,No,"Synthetic K-9 Turf, Grass",Yes,Dog Fountain,Park hours,2648,None,"{""coordinates"": [[-79.3289490112829, 43.6678177560724]], ""type"": ""MultiPoint""}"
14,132,2750,2844,Stanley Park South - Toronto,700 Wellington St W,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2750,Yes,Full,Yes,No,Crushed Granite,Yes,"Drinking Fountain, Dog Fountain",6 a.m. to 11 p.m.,2165,None,"{""coordinates"": [[-79.4091074318837, 43.6414916437865]], ""type"": ""MultiPoint""}"
15,133,466,2854,Colonel Samuel Smith Park,65 Colonel Samuel Smith Park Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=466,Yes,Full,No,No,"Grass, Dirt",None,None,6 a.m. to midnight,4118,None,"{""coordinates"": [[-79.517466412099, 43.5935408831024]], ""type"": ""MultiPoint""}"
16,134,2755,57582,Bayview Arena Park,3240 Bayview Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2755,Yes,Full,No,Yes,Pea Gravel,None,None,7 a.m. to 10 p.m.,2629,None,"{""coordinates"": [[-79.3944106668516, 43.7884723266228]], ""type"": ""MultiPoint""}"
17,135,2443,45225,Linkwood Lane Park,10 Linkwood Lane,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2443,No,Full,No,No,Grass,None,None,6 a.m. to 11 p.m.,2226,None,"{""coordinates"": [[-79.3246599781478, 43.7129475917073]], ""type"": ""MultiPoint""}"
18,136,514,2821,Earlscourt Park,1200 Lansdowne Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=514,Yes,Full,Yes,No,Engineered Wood Fibre,Yes,Dog Fountain,"7 a.m. to 10 p.m.
CDW only allowed 9 a.m. to 3 p.m.",1785,None,"{""coordinates"": [[-79.4492421153436, 43.6719831944094]], ""type"": ""MultiPoint""}"
19,137,338,2824,David Crombie Park,131 The Esplanade,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=338,Yes,None,No,No,Grass,None,None,"6 a.m. to 8 a.m. 
& 5 p.m. to 11 p.m.",1496,None,"{""coordinates"": [[-79.3680805247808, 43.6485018441891]], ""type"": ""MultiPoint""}"
20,138,560,2833,Botany Hill Park,277 Orton Park Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=560,Yes,Full,No,No,Grass,None,None,"Monday to Friday
7 a.m. to 9 p.m.;
Saturday & Sunday 
9 a.m. to 9 p.m.",2594,None,"{""coordinates"": [[-79.2134518814513, 43.7785723611373]], ""type"": ""MultiPoint""}"
21,139,41,2838,Allan Gardens,160 Gerrard St E,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=41,Yes,Full,No,Yes,Choker Sand,Yes,Dog Fountain,5:30 a.m. to midnight,2650,Wading Pool for Dogs,"{""coordinates"": [[-79.3747400678743, 43.6625231521696]], ""type"": ""MultiPoint""}"
22,140,6,2805,Marie Curtis Park,2 Forty Second St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=6,Yes,Full,No,No,Choker Sand,None,None,6 a.m. to midnight,4764,None,"{""coordinates"": [[-79.5461472731885, 43.5864861720149]], ""type"": ""MultiPoint""}"
23,141,209,2827,Cherry Beach/Clarke Beach Park,1 Cherry St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=209,Yes,Full,No,No,"Sand, Pea Gravel",None,None,6 a.m. to midnight,38807,None,"{""coordinates"": [[-79.3465600778049, 43.6352067472826]], ""type"": ""MultiPoint""}"
24,142,295,70524,Bickford Park,400 Grace St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=295,Yes,Full,Yes,No,Pea Gravel,Yes,Bottle Filling Station,6 a.m. to midnight,2258,None,"{""coordinates"": [[-79.4183541651455, 43.66012847373]], ""type"": ""MultiPoint""}"
25,143,2708,72822,Canoe Landing,95 Fort York Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2708,Yes,Full,No,No,Engineered Wood Fibre,None,None,Park hours,532,None,"{""coordinates"": [[-79.3970683423984, 43.6391248644548]], ""type"": ""MultiPoint""}"
26,144,77,2815,High Park,1873 Bloor St W,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=77,Yes,Full,No,No,Sand,Yes,Dog Fountain,Park hours,32246,None,"{""coordinates"": [[-79.4636100500872, 43.6469307387253]], ""type"": ""MultiPoint""}"
